"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\bin\WWDisplayAssemblyInfo.exe","2","33133","18432","2016/03/23 23:29:39","2011/10/09 13:53:40","2014/09/01 13:52:04"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\bin\Debug\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:38","2011/10/09 13:42:32","2015/01/11 02:35:10"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\bin\Release\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 02:35:15"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\obj\Debug\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:42:32","2015/01/11 02:35:15"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\obj\Release\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 02:35:15"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\_Notes\distrib\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 03:19:58"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\bin\Debug\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:38","2011/10/09 13:42:32","2015/01/11 02:35:10"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\bin\Release\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 02:35:15"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\obj\Debug\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:42:32","2015/01/11 02:35:15"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\WWDisplayAssemblyInfo\obj\Release\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 02:35:15"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\Tools_for_Programmers\WWDisplayAssemblyInfo\_Notes\distrib\WWDisplayAssemblyInfo.exe","2","33279","18432","2016/01/09 00:06:39","2011/10/09 13:53:39","2015/01/11 03:19:58"
